nr;product name;correct product name;correct size
1;- Ian Face Tagescrene;I am Face Tagescreme;0,05
2;0 -Schokolade Nuss;D-Schokolade Nuss;0,1
3;ASC Lachsabschnitte gerä;ASC Lachsabschnitte geräuchert;0,2
4;Aliments diverse;Various Foods;
5;Altresg Kozzarella;Alfredo Mozzarella;0,15
6;Aug Hiich-Huzs;MBud Milch-Nuss;0,1
7;BJ FBU Aprikosen;Aprikosen marmelade 60%;
8;Bananen;Bananen;
9;Bananen |;Bananen;
10;Bas) Jerbrot;Baslerbrot;0,5
11;Bid Buchueizen;Bio Buchweizen;0,45
12;Bio Karottensaft 11;Bio Karottensaft;1,0
13;Bio Karottensaft 1] en;Bio Karottensaft;1,0
14;Bio Vollnilch Past P;Bio Vollmilch Past. 3,5%;1,0
15;Bud Pizze Prosciutto;MBud Pizza Prosciutto;1,0
16;Bud Ruchbrat;MBud Ruchbrot;0,5
17;Butte mit IP-Suisse Mehl;Butte mit IP-Suisse Mehl;0,053
18;Butte mit IP-Suisse Mehl 539;Butte mit IP-Suisse Mehl;0,053
19;Butte mit IPS Weizenmehl;Butte mit IP-Suisse Mehl;0,053
20;Cailler Tafelschok. Hase;Cailler Tafelschok. Hase;0,1
21;Calif. Walnusskernhälfte;Calif. Walnusskernhälfte;0,2
22;Calif. Walrusekernhal fte;Calif. Walnusskernhälfte;0,2
23;Californische Pistazienk;Californische Pistazien;0,1
24;Croissant;Croissant;1,0
25;D- Joghurt Heidelbeer;D-Joghurt Heidelbeer;0,2
26;D- Joghurt Heidelbeer 200g;D-Joghurt Heidelbeer;0,2
27;D- Passata di poaod Tet 5009;D-Passata di pomod let;0,5
28;D- Passata di pomod Tet;D-Passata di pomod let;0,5
29;D- Passata di pomod Tet 500g;D-Passata di pomod let;0,5
30;D- Passata di pomod fet;D-Passata di pomod let;0,5
31;D- Passata di pomod fet 500g;D-Passata di pomod let;0,5
32;D-Eier Import Boden.;D-Eier Import Boden.;15,0
33;D-Eier Import Boden. 15x+;D-Eier Import Boden.;15,0
34;D-Joghurt Heidelbeer;D-Joghurt Heidelbeer;0,2
35;D-Joghurt Heidelbeer 2009;D-Joghurt Heidelbeer;0,2
36;D-Joghurt Heidelbeer 200g;D-Joghurt Heidelbeer;0,2
37;D-Joghurt Kirsche;D-Joghurt Kirsche;0,2
38;D-Joghurt Vanilie;D-Joghurt Vanilie;0,2
39;D-Joghurt Vanilie 290g;D-Joghurt Vanilie;0,2
40;D-Joghurt Wanille;D-Joghurt Vanilie;0,2
41;D-Jognurt Heideibeer;D-Joghurt Heidelbeer;0,2
42;D-Jognurt Heideibeer 200g;D-Joghurt Heidelbeer;0,2
43;D-Miesli Traube-Nuss Ikg;D-Müesli Traube-Nuss;1,0
44;D-Miesli Traube-Nuss ikg;D-Müesli Traube-Nuss;1,0
45;D-Mües1i Traube-Nuss Ikg;D-Müesli Traube-Nuss;1,0
46;D-Müesli Traube-Nuss;D-Müesli Traube-Nuss;1,0
47;D-Müesli Traube-Nuss Ikg;D-Müesli Traube-Nuss;1,0
48;D-Nuss- Kürbiskernntx 2509;D-Nusskernmischung unge;0,25
49;D-Nusskernmischung unge;D-Nusskernmischung unge;0,2
50;D-Nusskernmischung unge 2009;D-Nusskernmischung unge;0,2
51;D-Nusskernsischung unge 2009;D-Nusskernmischung unge;0,2
52;D-Passata di pomod let;D-Passata di pomod let;0,5
53;D-Rinds- ‚Hackfleisch 500g;D-Rinds-Hackfleisch;0,5
54;D-Rinds-Hackf leisch;D-Rinds-Hackfleisch;0,5
55;D-Rinds-Hackf leisch 500g;D-Rinds-Hackfleisch;0,5
56;D-Rinds-Hackfleisch;D-Rinds-Hackfleisch;0,5
57;D-Rinds-Heckt leisch Sug;D-Rinds-Hackfleisch;0,5
58;D-Schokolade Muss;D-Schokolade Nuss;0,1
59;D-Schokolade Nuss;D-Schokolade Nuss;0,1
60;D-Schokolade Nuss 1009;D-Schokolade Nuss;0,1
61;D-Schokolede fuss;D-Schokolade Nuss;0,1
62;D-Tomme suisse Rund;D-Tomme suisse Rund;0,1
63;D-Vollailch Past IL;D-Vollmilch Past 3,5%;1,0
64;D-Vollatich Pest 1;D-Vollmilch Past 3,5%;1,0
65;D-Vollmilch Past;D-Vollmilch Past 3,5%;1,0
66;D-Vollmilch Past 3,5%;D-Vollmilch Past 3,5%;1,0
67;D-Vollmilch Past IL;D-Vollmilch Past 3,5%;1,0
68;D-Vollmilch Past IL -;D-Vollmilch Past 3,5%;1,0
69;Danner Raped a;Danner Rapsöl;1,0
