nr;product name;correct product name;correct size
1;- Ian Face Tagescrene;I am Face Tagescreme;0,050
2;0 -Schokolade Nuss;D-Schokolade Nuss;0,1
3;ASC Lachsabschnitte gerä;ASC Lachsabschnitte geräuchert;0,2
4;Aliments diverse;Various Foods;
5;Altresg Kozzarella;Alfredo Mozzarella;0,15
6;Aug Hiich-Huzs;MBud Milch-Nuss;0,1
7;BJ FBU Aprikosen;Aprikosen marmelade 60%;
8;Bananen;Bananen;
9;Bananen |;Bananen;
10;Bas) Jerbrot;Baslerbrot;0,5
11;Bid Buchueizen;Bio Buchweizen;0,45
12;Bio Karottensaft 11;Bio Karottensaft;1,0
13;Bio Karottensaft 1] en;Bio Karottensaft;1,0
14;Bio Vollnilch Past P;Bio Vollmilch Past. 3,5%;1,0
15;Bud Pizze Prosciutto;MBud Pizza Prosciutto;1
16;Bud Ruchbrat;MBud Ruchbrot;0,5
17;Butte mit IP-Suisse Mehl 539;Butte mit IP-Suisse Mehl;0,053
18;Butte mit IPS Weizenmehl;Butte mit IP-Suisse Mehl;0,053
19;Calif. Walnusskernhälfte;Calif. Walnusskernhälfte;0,2
20;Calif. Walrusekernhal fte;Calif. Walnusskernhälfte;0,2
21;D- Joghurt Heidelbeer;D-Joghurt Heidelbeer;0,2
22;D- Joghurt Heidelbeer 200g;D-Joghurt Heidelbeer;0,2
23;D- Passata di poaod Tet 5009;D-Passata di pomod let;0,5
24;D- Passata di pomod Tet;D-Passata di pomod let;0,5
25;D- Passata di pomod fet;D-Passata di pomod let;0,5
26;D- Passata di pomod fet 500g;D-Passata di pomod let;0,5
27;D-Eier Import Boden.;D-Eier Import Boden.;15,0
28;D-Eier Import Boden. 15x+;D-Eier Import Boden.;15,0
29;D-Joghurt Heidelbeer;D-Joghurt Heidelbeer;0,2
30;D-Joghurt Heidelbeer 2009;D-Joghurt Heidelbeer;0,2
31;D-Joghurt Heidelbeer 200g;D-Joghurt Heidelbeer;0,2
32;D-Joghurt Kirsche;D-Joghurt Kirsche;0,2
33;D-Joghurt Vanilie;D-Joghurt Vanilie;0,2
34;D-Joghurt Vanilie 290g;D-Joghurt Vanilie;0,2
35;D-Joghurt Wanille;D-Joghurt Vanilie;0,2
36;D-Jognurt Heideibeer;D-Joghurt Heidelbeer;0,2
37;D-Jognurt Heideibeer 200g;D-Joghurt Heidelbeer;0,2
38;D-Miesli Traube-Nuss Ikg;D-Müesli Traube-Nuss;1,0
39;D-Miesli Traube-Nuss ikg;D-Müesli Traube-Nuss;1,0
40;D-Mües1i Traube-Nuss Ikg;D-Müesli Traube-Nuss;1,0
41;D-Müesli Traube-Nuss;D-Müesli Traube-Nuss;1,0
