nr;product name;correct product name;correct size
1;0 -Schokolade Nuss;D-Schokolade Muss;0,1
2;Berliner;;
3;Bezeictwang Betrag;;
4;Butte mit IP-Suisse Mehl 539;Butte mit IP-Suisse Mehl;0,053
5;Butte mit IPS Weizenmehl;;
6;Croissant;;
7;D- Joghurt Heidelbeer;D-Joghurt Heidelbeer;
8;D- Passata di poaod Tet 5009;D-Passata di pomod let;0,500
9;D- Passata di pomod Tet;D-Passata di pomod let;
10;D- Passata di pomod fet;D-Passata di pomod let;
11;D-Eier Import Boden. 15x+;D-Eier Import Boden.;15
12;D-Joghurt Heidelbeer;;
13;D-Joghurt Heidelbeer 2009;D-Joghurt Heidelbeer;0,200
14;D-Joghurt Kirsche;;
15;D-Joghurt Vanilie;;
16;D-Joghurt Wanille;D-Joghurt Vanilie;
17;D-Jognurt Heideibeer;D-Joghurt Heidelbeer;
18;D-Miesli Traube-Nuss Ikg;D-Müesli Traube-Nuss;1,0
19;D-Miesli Traube-Nuss ikg;D-Müesli Traube-Nuss;1,0
20;D-Mües1i Traube-Nuss Ikg;D-Müesli Traube-Nuss;1,0
21;D-Müesli Traube-Nuss;;
22;D-Müesli Traube-Nuss Ikg;D-Müesli Traube-Nuss;1,0
23;D-Nusskernmischung unge;;
24;D-Nusskernmischung unge 2009;D-Nusskernmischung unge;0,200
25;D-Nusskernsischung unge 2009;D-Nusskernmischung unge;0,200
26;D-Rinds-Hackf leisch;D-Rinds-Hackfleisch;
27;D-Rinds-Heckt leisch Sug;D-Rinds-Hackfleisch;0,500
28;D-Schokolade Muss;D-Schokolade Muss;0,1
29;D-Schokolade Nuss;D-Schokolade Muss;0,1
30;D-Schokolade Nuss 1009;D-Schokolade Muss;0,1
31;D-Schokolede fuss;D-Schokolade Muss;0,1
32;D-Tomme suisse Rund;;
33;D-Vollailch Past IL;D-Vollmilch Past;1,0
34;D-Vollatich Pest 1;D-Vollmilch Past;1,0
35;D-Vollmilch Past;;
36;D-Vollmilch Past IL;D-Vollmilch Past;1,0
37;D-Vollmilch Past IL -;D-Vollmilch Past;1,0
38;Danner Raped a;Danner Rapsöl;1,0
39;Demer Hörnli ikg;Denner Hörnli;1,0
40;Denne: Kaisergemise;Denner Kaisergemüse;
41;Denner Bananen Of fen of fenkg;Denner Bananen Ofenverka;
42;Denner Bananen Of fen of ferkg;Denner Bananen Ofenverka;
43;Denner Bananen Ofenverka kg;Denner Bananen Ofenverka;
44;Denner Bananen Offen of fenkg;Denner Bananen Ofenverka;
45;Denner Bananen Offen offenkg;Denner Bananen Ofenverka;
46;Denner Bananen Offen offerikg;Denner Bananen Ofenverka;
47;Denner Drangensaft 1.51 Pel;Denner Orangensaft;1,5
48;Denner Edamer Scheiben;;
49;Denner Gouda In scheibe 2509 2. 30.;Denner Gouda in Scheibe;0,250
50;Denner Gouda in Scheibe;Denner Gouda in Scheibe;0,250
51;Denner Gouda in Scheibe 2509;Denner Gouda in Scheibe;0,250
52;Denner Hackfle gemischt;;
53;Denner Hornli Ikg;Denner Hörnli;1,0
54;Denner Kaisergemise;Denner Kaisergemüse;
55;Denner Kaisergemuse  N |;Denner Kaisergemüse;
56;Denner Kaisergemüse;Denner Kaisergemüse;
57;Denner Kaisergesüse;Denner Kaisergemüse;
58;Denner Norweg Port ionen  5. 4;Denner Norweg Portionen;0,250
59;Denner Norweg Portianen;Denner Norweg Portionen;0,250
60;Denner Norweg Portionen;Denner Norweg Portionen;0,250
61;Denner Norweg Portionen  5 95;Denner Norweg Portionen;0,250
62;Denner Norweg Portionen 2509;Denner Norweg Portionen;0,250
63;Denner Orangensaft;Denner Orangensaft;1,5
64;Denner Orangensaft  Pet;Denner Orangensaft;1,5
65;Denner Orangensaft 1.51 Pet;Denner Orangensaft;1,5
66;Denner Oregano 129;Denner Oregano;0,012
67;Denner Reis perboiled Ing;Denner Reis perboiled;1,0
68;Denner Tomatenpüree 2009;Denner Tomatenpüree;0,2
69;Denner: Gouda in Scheibe;Denner Gouda in Scheibe;0,250
70;Derner Bananen Offen offenkg |;Denner Bananen Ofenverka;
71;Derner Gouda in Scheibe 2509;Denner Gouda in Scheibe;0,250
72;Ecowa Toilettenpapi 20x20081;Ecoma Toilettenpapi;20
73;Flachofirsiche;Flachpfirsiche;
74;Flachpfirsiche;Flachpfirsiche;
75;Forellenfilets geräuehert;Forellenfilets geräuchert;
76;Gebühr ensack Stedt Bern IRo);Gebührensack Stedt Bern 17l;10
77;Gurken;;
78;Gurken 1Stk,;Gurken;1,0
79;IP-Suisse Krustenbrot;;
80;IP-Suisse Lauge mit Salz;;
81;IP-Suisse Zwiebein Offen kg;IP-Suisse Zwiebeln Offen kg;
82;IP-Suisse Zwiebeln Offenv kg;IP-Suisse Zwiebeln Offen kg;
83;Mist. 2.68 3.20;-;
84;Mulino Bianco Molinett;;
85;O0-Rinds Hackfleisch  T. 60;D-Rinds-Hackfleisch;0,5
86;Pain ait IP-Suisse Mehl  1.25;Pain mit IP-Suisse Mehl;0,075
87;Rispentosaten Offenverka kg;Rispentomaten Offenverka kg;
88;Rundung Of  379999999999999_ -0.U3 +;-;
89;Rustico Giofel mit IPS;;
90;Schoggigipfeli;;
91;Schweins-Voressen;;
92;Schweins-Voressen  300g;Schweins-Voressen;0,3
93;Skandin Rauchlachs, ASC;Skandin Rauchlachs, ASC;0,150
94;That Kitch. Ge. Curry Pa. ‚2250 4. 30;Thai Kitch. Ge. Curry Pa.;0,225
95;Tomaten Netz;Tomaten Netz;1,0
96;Tomaten Netz Ikg;Tomaten Netz;1,0
97;Tomaten Netz ko;Tomaten Netz;1,0
98;Wonderful Pistazien XX;Pistazien;1,0
99;b-Rinds-Hackfleisch 50ug;D-Rinds-Hackfleisch;0,5
100;i aMule Sfarnatini Rosaa;LaMole Sfornatini Rosma;0,12
101;iwenry Lasbertz Best Se;Henry Lambertz Best Se;1,0
102;tenor Goldene Orchide 1.2391;Lenor Goldene Orchide;1.239
