status;date;product name;size/volume;price;price per 1;shop;discount
!;16.08.2025;Denner Drangensaft 1.51 Pel;NaN;1.95;1.95;denner;
!;16.08.2025;Denner Kaisergemuse  N |;0,750;NaN;NaN;denner;
!;16.08.2025;D-Vollmilch Past IL -;NaN;2.80;2.80;denner;
!;16.08.2025;D-Müesli Traube-Nuss Ikg;NaN;2.55;2.55;denner;
;16.08.2025;D-Tomme suisse Rund;0,100;1.95;19.50;denner;
;16.08.2025;Butte mit IPS Weizenmehl;0,053;0.40;7.55;denner;50%
;16.08.2025;Croissant;0,070;0.40;5.71;denner;53%
;16.08.2025;D-Joghurt Wanille;0,200;1.40;7.00;denner;
;16.08.2025;D-Joghurt Heidelbeer;0,400;1.40;3.50;denner;
;16.08.2025;Denner: Gouda in Scheibe;0,250;2.30;9.20;denner;
;16.08.2025;D-Nusskernmischung unge;0,200;3.00;15.00;denner;
;16.08.2025;D-Schokolade Nuss;0,200;1.20;6.00;denner;
